numero,dam_key,state_code,dam_name,dam_name_clean,state,municipality,latitude,longitude,altitude_m,basin_id,basin_name,hydro_region_id,hydro_region_name,namo_oficial_mm3,name_elev_msnm,name_oficial_mm3,namo_elev_msnm,altura_cortina_m,elev_corona_msnm,inicio_operacion,corriente,uso,tipo_vertedor,nombre_comun
174,GDOSI,SI,"Gustavo Díaz Ordaz, Sin.",Gustavo Díaz Ordaz,Sinaloa,Sinaloa,25.856667,-107.911111,1470,131,Río Sinaloa 1,10,Sinaloa,1618.751,252.5,2687.074,237.06,116.0,256.0,1981,R. Sinaloa,AP/GH/RI,Contr,"Bacurato, Sin."
175,ARCSO,SO,"Adolfo Ruíz Cortínes, Son.",Adolfo Ruíz Cortínes,Sonora,Álamos,27.226111,-109.106667,148,108,Río Mayo 2,9,Sonora Sur,1200.0,145.4700012,1822.141,138.46,88.5,148.0,1955,Río Mayo,AP/GH/RI,Mixto,"Mocúzari, Son."
176,AGCSO,SO,"Agua Caliente, Son.",Agua Caliente,Sonora,Cajeme,27.75,-109.887778,0,105,Río Yaqui 3,9,Sonora Sur,37.58,79.6,41.16,79.1,8.35,100.85,,Canal Alto Oviachic,RI,Libre,Dique 10
177,AOBSO,SO,"Álvaro Obregón, Son.",Álvaro Obregón,Sonora,Cajeme,27.8225,-109.8925,116,104,Río Yaqui 2,9,Sonora Sur,3023.14,112.1999969,4478.215,105.5,90.0,115.1,1952,R. Yaqui,AP/GH/RI,Libre,"Oviachic, Son."
178,IRASO,SO,"Ignacio R. Alatorre, Son.",Ignacio R. Alatorre,Sonora,Guaymas,28.426389,-110.396944,245,110,Río Mátape 1,9,Sonora Sur,16.15999985,102.7099991,29.69000053,100.0,30.0,105.0,1972,R. San Marcial o Mátape,RI,Libre,"Punta de Agua, Son."
179,ARLSO,SO,"Abelardo Rodríguez Lujan, Son.",Abelardo Rodríguez Lujan,Sonora,Hermosillo,29.076667,-110.92,230,100,Río Sonora 2,9,Sonora Sur,219.52,228.3999939,284.4700012,226.98,36.0,231.6,1948,R. Sonora,AP,Contr,"Hermosillo, Son."
180,PMOSO,SO,"Ing. Rodolfo Félix Valdés, Son.",Ing. Rodolfo Félix Valdés,Sonora,Hermosillo,29.2125,-110.725556,321,100,Río Sonora 2,9,Sonora Sur,121.202,293.4,222.47,289.36,31.4,295.4,,R. Sonora,AP,Libre,"El Molinito, Son."
181,LCDSO,SO,"Lázaro Cárdenas, Son.",Lázaro Cárdenas,Sonora,Nacozari de García,30.437778,-109.378889,860,102,Río Bavispe,9,Sonora Sur,703.3800049,840.1500244,1116.459961,830.7000122,91.75,843.75,1942,R. Bavispe,RI,Libre,"La Angostura, Son."
182,PECSO,SO,"Plutarco Elías Calles, Son.",Plutarco Elías Calles,Sonora,Soyopa,28.976667,-109.642222,2110,103,Río Yaqui 1,9,Sonora Sur,2833.07,296.8,3511.96,290.5,133.8,297.8,1964,R. Yaqui,GH,Contr,"El Novillo, Son."
183,CHTSO,SO,"Cuauhtémoc, Son.",Cuauhtémoc,Sonora,Tubutama,30.873333,-111.516389,590,92,Río Magdalena,8,Sonora Norte,41.47000122,600.25,66.33000183,597.0,57.2,603.0,1950,R. Altar,RI,Libre,"Santa Teresa, Son."
184,RSPTP,TP,"República Española, Tamps.",República Española,Tamaulipas,Aldama,23.259444,-97.991944,90,459,Río San Rafael 1,25,San Fernando-Soto La Marina,54.77999878,89.43000031,105.9899979,83.0,30.0,92.0,1974,A. San Pedro,AP,Libre,"Real Viejo o El Sombrero, Tamps."
185,MRGTP,TP,"Marte Rodolfo Gómez, Tamps.",Marte Rodolfo Gómez,Tamaulipas,Camargo,26.204722,-98.925556,272,438,Río San Juan 3,24,Bravo Conchos,781.7,83.0,2208.663,76.3,49.0,86.0,1946,Río San Juan,RI,Libre,"El Azúcar, Tamps."
186,ERCTP,TP,"Estudiante Ramiro Caballero Dorantes, Tamps.",Estudiante Ramiro Caballero Dorantes,Tamaulipas,González,22.605,-98.691667,50,542,Río Guayalejo 4,26,Pánuco,563.443,52.55,654.37,51.7,31.2,55.0,1976,A. Las Animas,AP/RI,Libre,"Las Animas, Tamps."
187,PJMTP,TP,"Pedro José Méndez, Tamps.",Pedro José Méndez,Tamaulipas,Hidalgo,24.2475,-99.555833,153,445,Río Purificación 1,25,San Fernando-Soto La Marina,31.26000023,449.3999939,38.36000061,447.2200012,55.0,453.0,1982,Río San Juan,RI,Libre,"Pedro J. Méndez, Tamps."
188,LBLTP,TP,"Derivadora Las Blancas, Tamps.",Derivadora Las Blancas,Tamaulipas,Mier,26.408889,-99.233611,51,433,Río Álamo,24,Bravo Conchos,83.784,91.80000305,133.43206,89.91999817,32.38,93.3,2000,R. Sombreretillo,RI,Libre,"Las Blancas, Tamps."
189,CILAAMSMX,MX,"Internacional Falcón, Tamps.",Internacional Falcón,Tamaulipas,Mier,26.56,-99.17,78,439,Río Bravo 12,24,Bravo Conchos,1769.66,349.03,2707.437,340.46,87.57,351.22,1968,R. Bravo,AP/RI,Contr,"La Amistad, Coah."
190,VGRTP,TP,"Vicente Guerrero, Tamps.",Vicente Guerrero,Tamaulipas,Padilla,23.959444,-98.666389,230,449,Área no aforada,25,San Fernando-Soto La Marina,3910.69,144.0399933,5498.22998,140.44,62.0,148.0,1967,R. Soto La Marina,AP/RI,Contr,"Las Adjuntas, Tamps."
191,TMPTP,TP,"Tampico, Tamps.",Tampico,Tamaulipas,Tampico,22.238333,-97.876111,40,543,Río Tamesí,26,Pánuco,676.0,1.4,854.0,1.0,,,,L. El Chairel,,Libre,"Tampico, Tamps."
192,SLZTP,TP,"Lic. Emilio Portes Gil, Tamps.",Lic. Emilio Portes Gil,Tamaulipas,Xicoténcatl,22.943889,-98.791389,140,539,Río Guayalejo 3,26,Pánuco,230.78,123.9000015,255.65,122.9499969,50.4,125.0,1983,A. El Sargento,AP/RI,Libre,"San Lorenzo, Tamps."
193,SJATL,TL,"San José Atlanga, Tlax.",San José Atlanga,Tlaxcala,Atlangatepec,19.556111,-98.200556,2498,270,Río Alto Atoyac,18,Balsas,42.63,2486.870117,47.97,2486.399902,24.2,2500.0,1959,R. Zahuapán,RI,Libre,"Atlanga,Tlax."
194,LDCVC,VC,"Canseco, Ver.",Canseco,Veracruz de Ignacio de la Llave,Catemaco,18.415833,-95.118333,254,583,Río San Juan,28,Papaloapan,493.02,333.5,552.7,332.7,7.2,334.5,1960,R. Grande,GH,Contr,"Laguna de Catemaco, Ver."
195,LCAVC,VC,"La Cangrejera, Ver.",La Cangrejera,Veracruz de Ignacio de la Llave,Coatzacoalcos,18.109444,-94.330833,24,606,Río Huazuntlán,29,Coatzacoalcos,28.53700066,21.64999962,31.60000038,21.25,15.87,23.87,1980,R. Teapa,AP,Libre,"La Crangrejera, Ver."
196,CHYVC,VC,"Paso de Piedras, Ver.",Paso de Piedras,Veracruz de Ignacio de la Llave,Pánuco,21.7375,-98.155833,40,545,Río Chicayán 1,26,Pánuco,249.97,28.28,572.32,23.64,34.0,32.25,1979,R. Chicayán,RI,Contr,"Chicayán, Ver."
197,PEMVC,VC,"Presa el Moralillo, Ver.",Presa el Moralillo,Veracruz de Ignacio de la Llave,Tepetzintla,21.184444,-97.814444,190,568,Río Tuxpan,27,Norte de Veracruz,2.5,115.94,8.126,110.78,15.5,116.0,,Río Buenavista,AP,Libre,Piedra Labrada
198,LREZC,ZC,"Gobernador Leobardo Reynoso, Zac.",Gobernador Leobardo Reynoso,Zacatecas,Fresnillo,23.179722,-103.207778,2101,745,Presa Cazadero,36,Nazas Aguanaval,95.717,2129.53,125.921,2127.35,40.34,2131.85,1946,R. San Francisco o Los Lazos,RI,Libre,"Trujillo, Zac."
199,STRZC,ZC,"Santa Rosa, Zac.",Santa Rosa,Zacatecas,Fresnillo,22.923611,-103.108889,2240,743,Presa Santa Rosa,36,Nazas Aguanaval,10.47599983,2249.639893,14.04100037,2248.639893,15.0,2250.19,1937,A. El Arenal,RI,Libre,"Santa Rosa, Zac."
200,PMOZC,ZC,"Moraleños, Zac.",Moraleños,Zacatecas,Jalpa,21.711111,-102.903611,1479,204,Río Juchipila 1,12,Lerma Santiago,20.932,1322.93,26.07,1318.96,47.05,1324.75,,Río Calvillo,RI,Libre,Moraleños
201,BTEZC,ZC,"Ramón López Velarde, Zac.",Ramón López Velarde,Zacatecas,Jerez,22.824167,-102.953333,2166,210,Río Tepetongo,12,Lerma Santiago,26.21999931,2098.159912,36.74399948,2096.0,30.0,2100.5,1975,R. Jeréz,RI,Libre,"Boca del Tesorero, Zac."
202,SGOZC,ZC,"Santiago, Zac.",Santiago,Zacatecas,Miguel Auza,24.290833,-103.506111,1990,747,Presa La Flor,36,Nazas Aguanaval,6.2,2000.26,11.421,1997.26,25.6,2001.8,,Río Santiago,RI,Libre,Santiago
203,STEZC,ZC,"Santa Teresa, Zac.",Santa Teresa,Zacatecas,Monte Escobedo,22.326667,-103.495833,1960,213,Río Bolaños 1,12,Lerma Santiago,9.172,1949.33,13.944,1946.0,31.6,1951.6,,Arroyo Santa Teresa,RI,Libre,Santa Teresa
204,ELCZC,ZC,"El Cazadero, Zac.",El Cazadero,Zacatecas,Río Grande,23.693056,-103.093611,1928,746,San Francisco,36,Nazas Aguanaval,22.178,1919.939941,44.68000031,1916.0,27.12,1920.12,1964,R. Aguanaval,RI,Libre,"El Cazadero, Zac"
205,CHIZC,ZC,"El Chique, Zac.",El Chique,Zacatecas,Tabasco,21.997222,-102.896111,1648,204,Río Juchipila 1,12,Lerma Santiago,138.9089966,1586.47998,192.5670013,1580.180054,61.0,1588.48,1958,R. Juchipila,RI,Libre,"El Chique, Zac."
206,EXCZC,ZC,"Miguel Alemán, Zac.",Miguel Alemán,Zacatecas,Tepechitlán,21.645833,-103.35,1740,211,Río Tlaltenango,12,Lerma Santiago,64.53,1704.5,70.91999817,1703.4,48.0,1707.0,1949,R. Tlaltenango,RI,Contr,"Excamé, Zac."
207,VILZC,ZC,"José María Morelos, Zac.",José María Morelos,Zacatecas,Tepechitlán,21.588889,-103.3375,1786,211,Río Tlaltenango,12,Lerma Santiago,9.017999649,1831.189941,11.16499996,1829.0,39.2,1833.2,1986,A. San Pedro,RI,Libre,"La Villita, Zac."
208,LOBZC,ZC,"Manuel Felgueres, Zac.",Manuel Felgueres,Zacatecas,Valparaíso,22.845278,-103.382778,1989,212,Arroyo Lobatos,12,Lerma Santiago,6.90500021,2080.179932,9.43500042,2077.050049,35.0,2082.3,1980,R. Cuevecillas,RI,Libre,"Lobatos, Zac."
209,PALZC,ZC,"Palomas, Zac.",Palomas,Zacatecas,Villanueva,22.347778,-102.798056,2025,202,Río Palomas,12,Lerma Santiago,4.62,1907.47998,8.761,1904.25,28.0,1908.34,1970,R. Palomas,RI,Libre,"Palomas, Zac."
210,TAYZC,ZC,"Ing. Julián Adame Alatorre, Zac.",Ing. Julián Adame Alatorre,Zacatecas,Villanueva,22.120556,-102.864167,1729,203,Presa El Chique,12,Lerma Santiago,31.59799957,1701.410034,50.3769989,1696.01001,54.3,1701.7,1976,R. Juchipila,RI,Libre,"Tayahua, Zac."
